eng	trans	rus 
aquamarine	[ ˌækwəməˈriːn ]	аквамарин
beige	[ beɪʒ ]	бежевый
snowy	[ ˈsnəʊɪ ] [ ˈsnəʊ waɪt ]	белоснежный
snow-white	[ ˈsnəʊɪ ] [ ˈsnəʊ waɪt ]	белоснежный
white	[ waɪt ]	белый
turquoise	[ ˈtɜːkwɔɪz ]	бирюзовый
pale	[ peɪl ]	бледный
wine red	[ waɪn red ] [ bɔːˈdəʊ ] [ ˈklærət red ]	бордовый
bordeaux	[ waɪn red ] [ bɔːˈdəʊ ] [ ˈklærət red ]	бордовый
claret red	[ waɪn red ] [ bɔːˈdəʊ ] [ ˈklærət red ]	бордовый
bronze	[ brɒnz ]	бронзовый
yellow green	[ ˈjeləʊ ɡriːn ]	желто-зеленый
yellow	[ ˈjeləʊ ]	желтый
pearl	[ pɜːl ]	жемчужный
green	[ ɡriːn ]	зеленый
goldenrod	[ ˈɡoldənˌrɑːd ]	золотистый
golden  	[ ɡəʊld ] [ ˈɡəʊldən ]	золотой
gold  	[ ɡəʊld ] [ ˈɡəʊldən ]	золотой
emerald	[ ˈemərəld ]	изумрудный
indigo	[ ˈɪndɪɡəʊ ]	индиго
firebrick	[ ˈfaɪəbrɪk ]	кирпичный
coral	[ ˈkɒrəl ]	коралловый
brown	[ braʊn ]	коричневый
red	[ red ]	красный
cream	[ kriːm ]	кремовый
azure	[ ˈæʒə ] [ æ’zjuə ]	лазурный
lime green	[ laɪm ɡriːn ]	лимонно-зеленый
lemon	[ ˈlemən ]	лимонный
salmon	[ ˈsæmən ]	лососевый
raspberry	[ ˈrɑːzbəri ]	малиновый
copper	[ ˈkɒpə ]	медный
honeydew	[ ˈhʌnɪdjuː ]	медовый
aqua	[ ˈækwə ]	морская волна
sky blue	[ skaɪ bluː ]	небесно-голубой
olive	[ ˈɒlɪv ]	оливковый
orange	[ ˈɒrɪndʒ ]	оранжевый
sienna	[ sɪˈenə ]	охра
ash	[ æʃ ]	пепельно-серый
peach	[ piːtʃ ] [ˈpiːtʃˈpʌf ]	персиковый
peachpuff	[ piːtʃ ] [ˈpiːtʃˈpʌf ]	персиковый
sand-coloured	[ sænd ˈkʌləd ]	песочный
purple	[ ˈpɜːpəl ]	пурпурный
pink	[ pɪŋk ]	розовый
light-green	[ laɪt ɡriːn ]	салатовый
light	[ laɪt ]	светлый
silver	[ ˈsɪlvə ] [ ˈsɪlvəri ]	серебряный
silvery	[ ˈsɪlvə ] [ ˈsɪlvəri ]	серебряный
grey	[ ɡreɪ ]	серый
gray	[ ɡreɪ ]	серый
blue	[ bluː ]	синий
lilac	[ ˈlaɪlək ]	сиреневый
plum	[ plʌm ]	сливовый
ivory	[ ˈaɪvəri ]	слоновая кость
steel gray	[ stiːl ɡreɪ ]	стальной серый
maroon	[ məˈruːn ]	темно-бордовый
dark	[ dɑːk ]	темный
navy (blue)	[ ˈneɪvi bluː ]	тёмно-синий
terracotta	[ ˌterəˈkɒtə ]	терракотовый
dull	[ dʌl ]	тусклый
purple	[ ˈpɜːpəl ]	фиолетовый
violet	[ ˈvaɪələt ]	фиолетовый, темно-лиловый
pistachio	[ pɪˈstɑːtʃɪəʊ ]	фисташковый, зеленоватый цвет
magenta	[ məˈdʒentə ]	фуксин
fuchsia	[ ˈfjuːʃə ]	фуксия
khaki	[ ˈkɑːki ] [ ˈfɒrɪst ɡriːn ]	хаки
forest green	[ ˈkɑːki ] [ ˈfɒrɪst ɡriːn ]	хаки
seagreen	[ ˈsiːˈɡriːn ]	цвет морской волны
sea foam	[ siː fəʊm ]	цвет морской пены
black	[ blæk ]	черный
amber	[ ˈæmbə ]	янтарный
