no	eng	trans	rus	category1	category2
1	adult	[ˈædʌlt]	взрослый	Человек 	
2	age	[eɪdʒ]	возраст	Человек 	
3	baby	[ˈbeɪbɪ]	малыш	Человек 	
4	birth	[bɜːθ]	рождение	Человек 	
5	boy	[bɔɪ]	мальчик	Человек 	
6	child	[tʃaɪld]	ребенок	Человек 	
7	childhood	[ˈtʃaɪldhʊd]	детство	Человек 	
8	girl	[ɡɜːl]	девочка	Человек 	
9	human	[ˈhjuːmən]	человек	Человек 	
10	kid	[kɪd]	ребенок	Человек 	
11	life	[laɪf]	жизнь	Человек 	
12	maiden name	[ˈmeɪdn neɪm]	девичья фамилия	Человек 	
13	man	[mæn]	мужчина	Человек 	
14	name	[neɪm]	имя	Человек 	
15	people	[ˈpiːpl]	люди	Человек 	
16	person	[ˈpɜːsn]	человек	Человек 	
17	personality	[ˌpɜːsəˈnæləti]	личность	Человек 	
18	surname	[ˈsɜːneɪm]	фамилия	Человек 	
19	teenager	[ˈtiːneɪdʒə(r)]	подросток	Человек 	
20	woman	[ˈwʊmən]	женщина	Человек 	
21	youth	[juːθ]	молодежь, молодость 	Человек 	
22	he	[hiː]	он	Местоимения 	
23	her	[hɜː(r)]	ее	Местоимения 	
24	him	[hɪm]	его (объектн.)	Местоимения 	
25	his	[hɪz]	его (притяжат.)	Местоимения 	
26	I	[aɪ]	я	Местоимения 	
27	it	[ɪt]	оно	Местоимения 	
28	my	[maɪ]	мой	Местоимения 	
29	our	[ˈaʊə(r)]	наш	Местоимения 	
30	she	[ʃiː]	она	Местоимения 	
31	their	[ðeə(r)]	их (притяжат.)	Местоимения 	
32	them	[ðem]	их (объектн.)	Местоимения 	
33	they	[ðeɪ]	они	Местоимения 	
34	we	[wiː]	мы 	Местоимения 	
35	arm	[ɑːm]	рука	Части тела	
36	back	[bæk]	спина	Части тела	
37	belly	[ˈbelɪ]	живот	Части тела	
38	blood	[blʌd]	кровь	Части тела	
39	body	[ˈbɒdɪ]	тело	Части тела
40	bone	[bəʊn]	кость	Части тела	
41	brain	[breɪn]	мозг	Части тела	
42	cheek	[tʃiːk]	щека	Части тела	
43	chest	[tʃest]	грудь	Части тела	
44	chin	[tʃɪn]	подбородок	Части тела	
45	ear	[ɪə(r)]	ухо	Части тела	
46	elbow	[ˈelbəʊ]	локоть	Части тела	
47	eye	[aɪ]	глаз	Части тела	
48	eyebrow	[ˈaɪbraʊ]	бровь	Части тела	
49	eyelash	[ˈaɪlæʃ]	ресница	Части тела	
50	face	[feɪs]	лицо	Части тела	
51	finger	[ˈfɪŋɡə(r)]	палец	Части тела	
52	fist	[fɪst]	кулак	Части тела	
53	foot	[fʊt]	ступня	Части тела	
54	forehead	[ˈfɔːhed]	лоб	Части тела	
55	hair	[heə(r)]	волосы	Части тела	
56	hand	[hænd]	кисть руки	Части тела	
57	heart	[hɑːt]	сердце	Части тела	
58	heel	[hiːl]	пятка	Части тела	
59	hip	[hɪp]	бедро	Части тела	
60	jaw	[dʒɔː]	челюсть	Части тела	
61	kidney	[ˈkɪdni]	почка	Части тела	
62	knee	[niː]	колено	Части тела	
63	leg	[leɡ]	нога	Части тела	
64	lips	[lɪps]	губы	Части тела	
65	little finger	[ˌlɪtl ˈfɪŋɡə(r)]	мизинец	Части тела	
66	liver	[ˈlɪvə(r)]	печень	Части тела	
67	lung	[lʌŋ]	легкое	Части тела	
68	mouth	[maʊθ]	рот	Части тела	
69	muscle	[ˈmʌsl]	мышца	Части тела	
70	nail	[neɪl]	ноготь	Части тела	
71	neck	[nek]	шея	Части тела	
72	nerve	[nɜːv]	нерв	Части тела	
73	nose	[nəʊz]	нос	Части тела	
74	palm	[pɑːm]	ладонь	Части тела	
75	rib	[rɪb]	ребро	Части тела	
76	ring finger	[ˈrɪŋ ˈfɪŋɡə(r)]	безымянный палец	Части тела	
77	skeleton	[ˈskelɪtn]	скелет	Части тела	
78	skin	[skɪn]	кожа	Части тела	
79	skull	[skʌl]	череп	Части тела	
80	stomach	[ˈstʌmək]	желудок	Части тела	
81	throat	[θrəʊt]	горло	Части тела	
82	thumb	[θʌm]	большой палец	Части тела	
83	toe	[təʊ]	палец на ноге	Части тела	
84	tongue	[tʌŋ]	язык	Части тела	
85	tooth	[tuːθ]	зуб	Части тела	
86	wrist	[rɪst]	запястье	Части тела	
87	to be	[biː]	быть	глаголы	
88	to breathe	[briːð]	дышать	глаголы	
89	to hear	[hɪə(r)]	слышать	глаголы	
90	to hold	[həʊld]	держать	глаголы	
