kaz	rus	top-list
адал	честный, верный, искренний   /честно/	top-100
ажарлы	миловидный, симпатичный	top-500
аз	малый, небольшой	top-100
азат	вольный, свободный	top-500
айқын	очевидный, явный, чёткий	top-100
айлалы	ловкий, изворотливый	top-500
айлы	лунный	top-500
айыпты	виноватый, повинный	top-500
ақ	белый, седой, чистый, искренний	top-100
ақсақ	хромой	top-500
ақшыл	беловатый	top-500
ақылды	умный, разумный, толковый  /умно, разумно/	top-500
ақырғы	заключительный	top-500
ала	пёстрый, неодинаковый	top-100
аласа	низкий	top-500
алғашқы	первый, начальный, прежний	top-100
алғыр	хваткий, цепкий, находчивый	top-500
алдағы	будущий, предстоящий	top-500
алдыңғы	передний, передовой	top-100
алуан	различный, разный	top-100
алып	мощный, сильный	top-500
алыс	дальний, отдаленный	top-100
амалсыз	безвыходный, вынужденный	top-500
аман	здоровый, невредимый   /невредимо/	top-100
антұрған	проклятый	top-500
анық	ясный, достоверный	top-100
аңқау	наивный, доверчивый   /простак/	top-500
аппақ	белоснежный, белый-пребелый	top-500
араз	находящийся в соре	top-500
аралас	смешанный	top-500
арғы	далёкий, противоположный	top-100
ардақты	уважаемый, дорогой, милый	top-500
арзан	дешёвый   /дёшево/	top-500
арнаулы	посвящённый, специальный	top-500
арсыз	наглый, бессовестный	top-500
артқы	последний, задний	top-500
артық	лучший, излишний   /лучше, излишек/	top-100
арық	худой, тощий   /арык/	top-500
асау	дикий, строптивый	top-500
асқақ	высочайший, высокомерный	top-500
асқар	высочайший, неприступный	top-500
асыл	драгоценный, благородный	top-100
атақты	знаменитый, знатный, прославленный	top-500
атаулы	именной, именованный	top-500
атты	именуемый, конный	top-100
аудандық	районный	top-500
аулақ	далёкий, обособленный	top-500
ауру	больной   /болезнь/	top-500
ауыр	тяжёлый, трудный   /тяжело/	top-100
аш	голодный	top-500
ашаң	худощавый лицом	top-500
аш-арық	истощённый	top-500
ашулы	злой, сердитый, раскрытый	top-500
ашық	открытый, яркий   /открыто, ярко/	top-100
ащы	острый, едкий, горький	top-500
аяусыз	безжалостный	top-500
әдеби	литературный	top-500
әдемі	красивый, прекрасный   /красиво/	top-500
әділ	справедливый, объективный	top-500
әзір	готовый	top-500
әлеуметтік	социальный, общественный	top-500
әлсіз	слабый, немощный, некрепкий	top-500
әртүрлі	разный, разнообразный	top-500
әсем	красивый, симпатичный, нарядный	top-100
әсерлі	впечатляющий, захватывающий	top-500
әскери	военный, воинский	top-500
әуелгі	предыдущий, прежний	top-500
әуес	увлекающийся, любопытный	top-500
бағалы	ценный, дорогой	top-500
бағанағы	недавний	top-500
бай	богатый, зажиточный   /богач/	top-100
байғұс	бедный, несчастный   /бедняга/	top-500
байланысты	связанный, относящийся	top-500
байлаулы	привязанный; завязанный	top-500
бақытты	счастливый	top-500
балғын	свежий, сочный, юный	top-500
барабар	адекватный, одинаковый	top-500
басқа	другой, прочий   /кроме/	top-100
басты	главный, ведущий	top-500
басым	подавляющий, превосходящий	top-500
батыл	смелый, бесстрашный   /смело/	top-500
батыр	отважный, смелый	top-500
баяғы	прежний, давний, прошлый	top-100
баяу	медленный, тихий  /медленно, тихо, спокойно/	top-500
бейбіт	мирный   /мирно/	top-500
бейім	склонный, способный	top-500
бекем	крепкий, прочный   /крепко/	top-500
белгілі	знаменитый, известный	top-100
белгісіз	неизвестный, неопределенный	top-500
бергі	ближний, близкий	top-500
берік	крепкий, прочный, твёрдый	top-500
бишара	беспомощный	top-500
биылғы	нынешний, этого года	top-500
биік	высокий   /высота/	top-100
боз	светлый, светло-серый	top-500
бойлы	рослый	top-500
болымсыз	незначительный, едва заметный	top-500
бос	свободный, пустой  /свободно, бесплатно/	top-500
бөгде	посторонний, чужой	top-500
бөлек	отдельный, обособленный	top-100
бөтен	посторонний, чужой, другой	top-500
бурыл	седой	top-500
бұзық	хулиганистый	top-500
бұлдыр	неотчетливый, нерезкий, туманный	top-500
бұндай	такой	top-500
бұрынғы	прежний, предыдущий	top-100
бүгінгі	сегодняшний, нынешний	top-100
бүтін	целый, единый, исправный	top-500
былтырғы	прошлогодний	top-500
білгір	знающий, сведущий	top-500
білімді	образованный, сведущий	top-500
бірдей	идентичный, одинаковый	top-100
бірыңғай	единый, одинаковый	top-500
ғажайып	удивительный, чудесный, сказочный	top-500
ғажап	дивный, прекрасный	top-500
ғылыми	научный, учёный	top-500
дағдылы	обычный, привычный	top-500
дана	мудрый   /мудрец/	top-500
данышпан	гениальный	top-500
даңқты	прославленный	top-500
даусыз	бесспорный	top-500
дәрежелі	имеющий степень	top-500
денелі	рослый, крупный	top-500
долы	буйный, бушующий	top-500
дұрыс	правильный, верный   /правильно/	top-100
дүниежүзілік	всемирный, мировой	top-500
егіз	парный, схожий	top-500
ежелгi	древний, давний	top-500
елеулі	видный, важный, значительный	top-500
елеусіз	незаметный, незначительный	top-500
елсіз	безлюдный, необитаемый	top-500
ен	бесконечный, необъятный	top-500
ендігі	нынешний, будущий, предстоящий	top-100
ер	мужской, мужественный, храбрый	top-500
ерекше	особенный, исключительный /особенно, исключительно/	top-100
ересек	взрослый, зрелый	top-500
ерке	шаловливый, избалованный	top-500
еркiн	свободный, вольный   /свободно/	top-500
ертеңгі	завтрашний, будущий, утренний	top-500
еріксіз	принудительный, невольный	top-500
есепті	отчётный, учтённый, считанный	top-500
ескі	старый, давний, ветхий	top-100
есті	разумный, сознательный	top-500
етті	мясной, мясистый	top-500
жабайы	дикий	top-500
жазғы	летный	top-500
жазықсыз	невинный, чистый	top-500
