eng	grade
annoy	Grade-1
attention	Grade-1
calm	Grade-1
comfortable	Grade-1
consequences	Grade-1
curious	Grade-1
curve	Grade-1
decide	Grade-1
directions	Grade-1
disappointed	Grade-1
discover	Grade-1
embarrassed	Grade-1
enormous	Grade-1
exhausted	Grade-1
explore	Grade-1
fair	Grade-1
fascinating	Grade-1
feast	Grade-1
focus	Grade-1
frustrated	Grade-1
gigantic	Grade-1
grumpy	Grade-1
huge	Grade-1
ignore	Grade-1
important	Grade-1
instead	Grade-1
investigate	Grade-1
invite	Grade-1
jealous	Grade-1
leader	Grade-1
list	Grade-1
listen	Grade-1
lovely	Grade-1
measuring	Grade-1
miserable	Grade-1
mumble	Grade-1
negative	Grade-1
nervous	Grade-1
nibbled	Grade-1
note	Grade-1
notice	Grade-1
observing	Grade-1
opposite	Grade-1
ordinary	Grade-1
positive	Grade-1
precious	Grade-1
prefer	Grade-1
problem	Grade-1
protect	Grade-1
proud	Grade-1
question	Grade-1
reminds	Grade-1
repeat	Grade-1
report	Grade-1
respect	Grade-1
rhyme	Grade-1
searching	Grade-1
special	Grade-1
spotless	Grade-1
squirm	Grade-1
stomped	Grade-1
suddenly	Grade-1
suggestion	Grade-1
surprise	Grade-1
uncomfortable	Grade-1
warning	Grade-1
wonder	Grade-1
worried	Grade-1
abstract	Grade-10
admonish	Grade-10
advocate	Grade-10
alternative	Grade-10
ambiguous	Grade-10
analogy	Grade-10
anarchy	Grade-10
assiduous	Grade-10
assimilate	Grade-10
augment	Grade-10
authentic	Grade-10
belligerent	Grade-10
bolster	Grade-10
bureaucratic	Grade-10
circumvent	Grade-10
coalition	Grade-10
cohesive	Grade-10
collaborate	Grade-10
comply	Grade-10
concurrent	Grade-10
connotation	Grade-10
constituent	Grade-10
contingent	Grade-10
criteria	Grade-10
demeanor	Grade-10
deplore	Grade-10
derogatory	Grade-10
disparity	Grade-10
disseminate	Grade-10
dissident	Grade-10
distraught	Grade-10
divert	Grade-10
docile	Grade-10
dormant	Grade-10
egocentric	Grade-10
elusive	Grade-10
emulate	Grade-10
equitable	Grade-10
eradicate	Grade-10
estrange	Grade-10
exacerbate	Grade-10
expedite	Grade-10
fabricate	Grade-10
facilitate	Grade-10
fortuitous	Grade-10
fraudulent	Grade-10
heinous	Grade-10
hypothetical	Grade-10
illicit	Grade-10
imminent	Grade-10
impetuous	Grade-10
incongruous	Grade-10
indigenous	Grade-10
indiscriminate	Grade-10
inherent	Grade-10
jurisdiction	Grade-10
lax	Grade-10
meticulous	Grade-10
negligent	Grade-10
nonchalant	Grade-10
oblivious	Grade-10
obscure	Grade-10
omnipotent	Grade-10
opportune	Grade-10
oppose	Grade-10
panacea	Grade-10
perfunctory	Grade-10
precarious	Grade-10
precipitate	Grade-10
preclude	Grade-10
preposterous	Grade-10
proficient	Grade-10
propensity	Grade-10
qualitative	Grade-10
quantitative	Grade-10
recalcitrant	Grade-10
redeem	Grade-10
rejuvenate	Grade-10
relegate	Grade-10
relinquish	Grade-10
repugnant	Grade-10
resilient	Grade-10
retrospect	Grade-10
sanction	Grade-10
spontaneous	Grade-10
static	Grade-10
stringent	Grade-10
subordinate	Grade-10
subsidize	Grade-10
tenuous	Grade-10
travesty	Grade-10
tumult	Grade-10
unilateral	Grade-10
validate	Grade-10
vindicate	Grade-10
zealot	Grade-10
aberration	Grade-11
abstract	Grade-11
accolade	Grade-11
accommodate	Grade-11
aesthetic	Grade-11
affinity	Grade-11
altercation	Grade-11
ameliorate	Grade-11
amicable	Grade-11
anarchy	Grade-11
anomaly	Grade-11
appall	Grade-11
archaic	Grade-11
arduous	Grade-11
