tagType,value
level-grade,A1 (Beginner)
level-grade,A2 (Elementary)
level-grade,B1 (Pre-Intermediate)
level-grade,B2 (Intermediate)
level-grade,C1 (Upper-Intermediate)
top-list,top-100
top-list,top-500
top-list,top-1000
top-list,top-5000
top-list,top-10000
word-category,числа
word-category,цвета
word-category,направления
word-category,животные
word-category,насекомые
word-category,растения
word-category,цветы
word-category,части тела
word-category,характер
word-category,настроение
word-category,"базовые движения (стоять, идти)"
word-category,"активности (учить, мыть, петь)"
word-category,игры
word-category,"семья, друзья"
word-category,одежда
word-category,блюда
word-category,напитки
word-category,овощи и фрукты
word-category,части дома
word-category,посуда
word-category,мебель
word-category,"домашние предметы обихода (полотенце, тапочки)"
word-category,техника и устройства
word-category,рабочие инструменты
word-category,музыкальные инструменты
word-category,профессии
word-category,город
word-category,транспорт
word-category,географические объекты
word-category,погода и времена года
