factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
1986	1988	aquamarine	аквамарин	{}	{1002=eng-rus}
1989	1991	beige	бежевый	{}	{1002=eng-rus}
1992	1994	snowy	белоснежный	{}	{1002=eng-rus}
1992	21307	snowy	снежный	{}	{1002=eng-rus}
4427	4428	snow	снег	{}	{1002=eng-rus}
4427	128446	snow	снег, падать (о снеге)	{}	{1002=eng-rus}
1998	2000	white	белый	{}	{1002=eng-rus}
2001	2003	turquoise	бирюзовый	{}	{1002=eng-rus}
2004	2006	pale	бледный	{}	{1002=eng-rus}
43438	43440	wine	вино	{}	{1002=eng-rus}
43438	130829	wine	вино, винный, пить вино	{}	{1002=eng-rus}
2049	2051	red	красный	{}	{1002=eng-rus}
2010	2012	bordeaux	бордовый	{}	{1002=eng-rus}
2016	2018	bronze	бронзовый	{}	{1002=eng-rus}
2016	81298	bronze	бронза	{}	{1002=eng-rus}
2022	2024	yellow	желтый	{}	{1002=eng-rus}
2028	2030	green	зеленый	{}	{1002=eng-rus}
2025	2027	pearl	жемчужный	{}	{1002=eng-rus}
2025	55231	pearl	жемчужина	{}	{1002=eng-rus}
2025	123072	pearl	жемчуг, жемчужина	{}	{1002=eng-rus}
2025	127954	pearl	жемчуг, жемчужный	{}	{1002=eng-rus}
2031	2033	goldenrod	золотистый	{}	{1002=eng-rus}
11013	11015	gold	золото	{}	{1002=eng-rus}
11013	21027	gold	золотистый	{}	{1002=eng-rus}
11013	125707	gold	золото, золотой	{}	{1002=eng-rus}
73272	73274	golden	золотой	{}	{1002=eng-rus}
73272	133193	golden	золотой, золотистый	{}	{1002=eng-rus}
2034	2036	emerald	изумрудный	{}	{1002=eng-rus}
2034	89652	emerald	изумруд	{}	{1002=eng-rus}
2037	2039	indigo	индиго	{}	{1002=eng-rus}
2040	2042	firebrick	кирпичный	{}	{1002=eng-rus}
2043	2045	coral	коралловый	{}	{1002=eng-rus}
2043	126656	coral	коралл	{}	{1002=eng-rus}
2046	2048	brown	коричневый	{}	{1002=eng-rus}
2052	2054	cream	кремовый	{}	{1002=eng-rus}
2052	41476	cream	крем	{}	{1002=eng-rus}
2052	119323	cream	крем, сливки	{}	{1002=eng-rus}
2052	126919	cream	сливки, крем	{}	{1002=eng-rus}
2055	2057	azure	лазурный	{}	{1002=eng-rus}
2277	2279	lime	лайм	{}	{1002=eng-rus}
2277	125592	lime	известь	{}	{1002=eng-rus}
2061	2063	lemon	лимонный	{}	{1002=eng-rus}
2061	2267	lemon	лимон	{}	{1002=eng-rus}
2064	2066	salmon	лососевый	{}	{1002=eng-rus}
2064	20500	salmon	лосось	{}	{1002=eng-rus}
2067	2069	raspberry	малиновый	{}	{1002=eng-rus}
2067	5595	raspberry	малина	{}	{1002=eng-rus}
2070	2072	copper	медный	{}	{1002=eng-rus}
2070	70461	copper	медь	{}	{1002=eng-rus}
2073	2075	honeydew	медовый	{}	{1002=eng-rus}
2073	5560	honeydew	белая мускатная дыня	{}	{1002=eng-rus}
2076	2078	aqua	морская волна	{}	{1002=eng-rus}
4415	4416	sky	небо	{}	{1002=eng-rus}
2127	2129	blue	синий	{}	{1002=eng-rus}
2127	3942	blue	голубой	{}	{1002=eng-rus}
2127	10816	blue	грустный	{}	{1002=eng-rus}
2082	2084	olive	оливковый	{}	{1002=eng-rus}
2082	115236	olive	оливка	{}	{1002=eng-rus}
2082	132744	olive	олива, маслина, оливкового цвета	{}	{1002=eng-rus}
2085	2087	orange	оранжевый	{}	{1002=eng-rus}
2085	4665	orange	апельсин	{}	{1002=eng-rus}
2085	125497	orange	апельсин, оранжевый	{}	{1002=eng-rus}
2088	2090	sienna	охра	{}	{1002=eng-rus}
2091	2093	ash	пепельно-серый	{}	{1002=eng-rus}
2091	35296	ash	пепел	{}	{1002=eng-rus}
2091	117820	ash	пепел, зола	{}	{1002=eng-rus}
2091	125937	ash	ясень	{}	{1002=eng-rus}
2094	2096	peach	персиковый	{}	{1002=eng-rus}
2094	2272	peach	персик	{}	{1002=eng-rus}
2097	2099	peachpuff	персиковый	{}	{1002=eng-rus}
16076	16078	sand	песок	{}	{1002=eng-rus}
87577	87579	coloured	цветной	{}	{1002=eng-rus}
2103	2105	purple	пурпурный	{}	{1002=eng-rus}
2103	2157	purple	фиолетовый	{}	{1002=eng-rus}
2103	123542	purple	пурпурный, фиолетовый	{}	{1002=eng-rus}
2103	125715	purple	лиловый, малиновый	{}	{1002=eng-rus}
2106	2108	pink	розовый	{}	{1002=eng-rus}
2112	2114	light	светлый	{}	{1002=eng-rus}
2112	3229	light	свет	{}	{1002=eng-rus}
2112	7065	light	легкий	{}	{1002=eng-rus}
2112	130871	light	свет, освещение, фара, освещать, зажигать	{}	{1002=eng-rus}
2115	2117	silver	серебряный	{}	{1002=eng-rus}
2115	18584	silver	серебро	{}	{1002=eng-rus}
2115	21035	silver	серебристый	{}	{1002=eng-rus}
2115	125719	silver	серебро, серебряный	{}	{1002=eng-rus}
2118	2120	silvery	серебряный	{}	{1002=eng-rus}
2121	2123	grey	серый	{}	{1002=eng-rus}
2124	2126	gray	серый	{}	{1002=eng-rus}
2130	2132	lilac	сиреневый	{}	{1002=eng-rus}
2130	128774	lilac	сирень, сиреневый	{}	{1002=eng-rus}
2133	2135	plum	сливовый	{}	{1002=eng-rus}
2133	2273	plum	слива	{}	{1002=eng-rus}
2136	2138	ivory	слоновая кость	{}	{1002=eng-rus}
18726	18728	steel	сталь	{}	{1002=eng-rus}
18726	124570	steel	сталь, стальной	{}	{1002=eng-rus}
2142	2144	maroon	темно-бордовый	{}	{1002=eng-rus}
2145	2147	dark	темный	{}	{1002=eng-rus}
2145	11519	dark	темный, темнота	{}	{1002=eng-rus}
2145	130868	dark	темный, печальный	{}	{1002=eng-rus}
28454	28456	navy	морское ведомство	{}	{1002=eng-rus}
28454	122615	navy	военно-морской флот	{}	{1002=eng-rus}
28454	126080	navy	военный флот	{}	{1002=eng-rus}
2151	2153	terracotta	терракотовый	{}	{1002=eng-rus}
2154	2156	dull	тусклый	{}	{1002=eng-rus}
2154	100910	dull	скучный	{}	{1002=eng-rus}
2154	119961	dull	скучный, унылый	{}	{1002=eng-rus}
2158	2160	violet	фиолетовый, темно-лиловый	{}	{1002=eng-rus}
2158	21036	violet	фиолетовый	{}	{1002=eng-rus}
2158	103413	violet	фиалка	{}	{1002=eng-rus}
2161	2163	pistachio	фисташковый, зеленоватый цвет	{}	{1002=eng-rus}
2164	2166	magenta	фуксин	{}	{1002=eng-rus}
2167	2169	fuchsia	фуксия	{}	{1002=eng-rus}
2170	2172	khaki	хаки	{}	{1002=eng-rus}
4421	4422	forest	лес	{}	{1002=eng-rus}
2176	2178	seagreen	цвет морской волны	{}	{1002=eng-rus}
4190	4191	sea	море	{}	{1002=eng-rus}
4190	125787	sea	море, океан	{}	{1002=eng-rus}
99432	99434	foam	пена	{}	{1002=eng-rus}
2182	2184	black	черный	{}	{1002=eng-rus}
2185	2187	amber	янтарный	{}	{1002=eng-rus}
2185	94339	amber	янтарь	{}	{1002=eng-rus}
2185	127951	amber	янтарь, янтарный	{}	{1002=eng-rus}
2007	2009	wine red	бордовый	{}	{1002=eng-rus}
2013	2015	claret red	бордовый	{}	{1002=eng-rus}
2019	2021	yellow green	желто-зеленый	{}	{1002=eng-rus}
2058	2060	lime green	лимонно-зеленый	{}	{1002=eng-rus}
2079	2081	sky blue	небесно-голубой	{}	{1002=eng-rus}
2139	2141	steel gray	стальной серый	{}	{1002=eng-rus}
2173	2175	forest green	хаки	{}	{1002=eng-rus}
2179	2181	sea foam	цвет морской пены	{}	{1002=eng-rus}
