factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
2239	2241	fruit	фрукт	{}	{1002=eng-rus}
2239	4645	fruit	фрукты	{}	{1002=eng-rus}
2242	2244	apricot	абрикос	{}	{1002=eng-rus}
2245	2247	pineapple	ананас	{}	{1002=eng-rus}
2248	2250	banana	банан	{}	{1002=eng-rus}
2251	2253	bergamot	бергамот	{}	{1002=eng-rus}
2254	2256	grape	виноград	{}	{1002=eng-rus}
2254	121070	grape	виноград (ягода)	{}	{1002=eng-rus}
2257	2259	grapefruit	грейпфрут	{}	{1002=eng-rus}
2260	2262	pear	груша	{}	{1002=eng-rus}
2263	2265	melon	дыня	{}	{1002=eng-rus}
2061	2063	lemon	лимонный	{}	{1002=eng-rus}
2061	2267	lemon	лимон	{}	{1002=eng-rus}
2268	2270	mandarin	мандарин	{}	{1002=eng-rus}
2094	2096	peach	персиковый	{}	{1002=eng-rus}
2094	2272	peach	персик	{}	{1002=eng-rus}
2133	2135	plum	сливовый	{}	{1002=eng-rus}
2133	2273	plum	слива	{}	{1002=eng-rus}
2274	2276	apple	яблоко	{}	{1002=eng-rus}
2277	2279	lime	лайм	{}	{1002=eng-rus}
2277	125592	lime	известь	{}	{1002=eng-rus}
2280	2282	kiwi	киви	{}	{1002=eng-rus}
2283	2285	fig	инжир	{}	{1002=eng-rus}
2283	125490	fig	рис	{}	{1002=eng-rus}
2286	2288	mango	манго	{}	{1002=eng-rus}
2289	2291	persimmon	хурма	{}	{1002=eng-rus}
2292	2294	pomelo	помело	{}	{1002=eng-rus}
2292	5563	pomelo	помелло	{}	{1002=eng-rus}
