factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
13451	2190	1000-puzzle-english/mp3/freedictionary_UK/material.mp3	материал	{1008=freedictionary_uk}	{1002=eng-rus}
13452	2190	1000-puzzle-english/mp3/collins_US/material.mp3	материал	{1008=collins_us}	{1002=eng-rus}
13453	2190	1000-puzzle-english/mp3/macmillan_UK/material.mp3	материал	{1008=macmillan_uk}	{1002=eng-rus}
13454	2190	1000-puzzle-english/mp3/freedictionary_US/material.mp3	материал	{1008=freedictionary_us}	{1002=eng-rus}
13455	2190	1000-puzzle-english/mp3/peterBaker_UK/material.mp3	материал	{1008=peterbaker_uk}	{1002=eng-rus}
13456	2190	1000-puzzle-english/mp3/howjsay_UK/material.mp3	материал	{1008=howjsay_uk}	{1002=eng-rus}
13457	2190	1000-puzzle-english/mp3/campbridge_US/material.mp3	материал	{1008=campbridge_us}	{1002=eng-rus}
13458	2190	1000-puzzle-english/mp3/vocalware_hugh_UK/material.mp3	материал	{1008=vocalware_hugh_uk}	{1002=eng-rus}
13459	2190	1000-puzzle-english/mp3/campbridge_UK/material.mp3	материал	{1008=campbridge_uk}	{1002=eng-rus}
13460	2190	1000-puzzle-english/mp3/collins_UK/material.mp3	материал	{1008=collins_uk}	{1002=eng-rus}
13461	2190	1000-puzzle-english/mp3/SteveElliott_UK/material.mp3	материал	{1008=steveelliott_uk}	{1002=eng-rus}
13462	2190	1000-puzzle-english/mp3/yandex_UK/material.mp3	материал	{1008=yandex_uk}	{1002=eng-rus}
79539	2190	10000-kreekly/mp3/Joey/material.mp3	материал	{1008=joey}	{1002=eng-rus}
79540	2190	10000-kreekly/mp3/Kendra/material.mp3	материал	{1008=kendra}	{1002=eng-rus}
79541	2190	10000-kreekly/mp3/Kimberly/material.mp3	материал	{1008=kimberly}	{1002=eng-rus}
79542	2190	10000-kreekly/mp3/Ivy/material.mp3	материал	{1008=ivy}	{1002=eng-rus}
79543	2190	10000-kreekly/mp3/Justin/material.mp3	материал	{1008=justin}	{1002=eng-rus}
79544	2190	10000-kreekly/mp3/Joanna/material.mp3	материал	{1008=joanna}	{1002=eng-rus}
79545	2190	10000-kreekly/mp3/Salli/material.mp3	материал	{1008=salli}	{1002=eng-rus}
79546	2190	10000-kreekly/mp3/Matthew/material.mp3	материал	{1008=matthew}	{1002=eng-rus}
127066	2190	8000-wordsteps/mp3/material.mp3	материал	{}	{1002=eng-rus}
15278	2193	1000-puzzle-english/mp3/freedictionary_UK/stone.mp3	камень	{1008=freedictionary_uk}	{1002=eng-rus}
15279	2193	1000-puzzle-english/mp3/collins_US/stone.mp3	камень	{1008=collins_us}	{1002=eng-rus}
15280	2193	1000-puzzle-english/mp3/macmillan_UK/stone.mp3	камень	{1008=macmillan_uk}	{1002=eng-rus}
15281	2193	1000-puzzle-english/mp3/freedictionary_US/stone.mp3	камень	{1008=freedictionary_us}	{1002=eng-rus}
15282	2193	1000-puzzle-english/mp3/peterBaker_UK/stone.mp3	камень	{1008=peterbaker_uk}	{1002=eng-rus}
15283	2193	1000-puzzle-english/mp3/howjsay_UK/stone.mp3	камень	{1008=howjsay_uk}	{1002=eng-rus}
15284	2193	1000-puzzle-english/mp3/campbridge_US/stone.mp3	камень	{1008=campbridge_us}	{1002=eng-rus}
15285	2193	1000-puzzle-english/mp3/vocalware_hugh_UK/stone.mp3	камень	{1008=vocalware_hugh_uk}	{1002=eng-rus}
15286	2193	1000-puzzle-english/mp3/campbridge_UK/stone.mp3	камень	{1008=campbridge_uk}	{1002=eng-rus}
15287	2193	1000-puzzle-english/mp3/collins_UK/stone.mp3	камень	{1008=collins_uk}	{1002=eng-rus}
15288	2193	1000-puzzle-english/mp3/SteveElliott_UK/stone.mp3	камень	{1008=steveelliott_uk}	{1002=eng-rus}
15289	2193	1000-puzzle-english/mp3/yandex_UK/stone.mp3	камень	{1008=yandex_uk}	{1002=eng-rus}
36019	2193	10000-kreekly/mp3/Joey/stone.mp3	камень	{1008=joey}	{1002=eng-rus}
36020	2193	10000-kreekly/mp3/Kendra/stone.mp3	камень	{1008=kendra}	{1002=eng-rus}
36021	2193	10000-kreekly/mp3/Kimberly/stone.mp3	камень	{1008=kimberly}	{1002=eng-rus}
36022	2193	10000-kreekly/mp3/Ivy/stone.mp3	камень	{1008=ivy}	{1002=eng-rus}
36023	2193	10000-kreekly/mp3/Justin/stone.mp3	камень	{1008=justin}	{1002=eng-rus}
36024	2193	10000-kreekly/mp3/Joanna/stone.mp3	камень	{1008=joanna}	{1002=eng-rus}
36025	2193	10000-kreekly/mp3/Salli/stone.mp3	камень	{1008=salli}	{1002=eng-rus}
36026	2193	10000-kreekly/mp3/Matthew/stone.mp3	камень	{1008=matthew}	{1002=eng-rus}
132305	2193	8000-wordsteps/mp3/stone.mp3	камень	{}	{1002=eng-rus}
29304	2196	10000-kreekly/mp3/Joey/concrete.mp3	бетон	{1008=joey}	{1002=eng-rus}
29304	119084	10000-kreekly/mp3/Joey/concrete.mp3	бетон, бетонировать	{1008=joey}	{1002=eng-rus}
29304	128838	10000-kreekly/mp3/Joey/concrete.mp3	бетон, сгущать, конкретный	{1008=joey}	{1002=eng-rus}
29305	2196	10000-kreekly/mp3/Kendra/concrete.mp3	бетон	{1008=kendra}	{1002=eng-rus}
29305	119084	10000-kreekly/mp3/Kendra/concrete.mp3	бетон, бетонировать	{1008=kendra}	{1002=eng-rus}
29305	128838	10000-kreekly/mp3/Kendra/concrete.mp3	бетон, сгущать, конкретный	{1008=kendra}	{1002=eng-rus}
29306	2196	10000-kreekly/mp3/Kimberly/concrete.mp3	бетон	{1008=kimberly}	{1002=eng-rus}
29306	119084	10000-kreekly/mp3/Kimberly/concrete.mp3	бетон, бетонировать	{1008=kimberly}	{1002=eng-rus}
29306	128838	10000-kreekly/mp3/Kimberly/concrete.mp3	бетон, сгущать, конкретный	{1008=kimberly}	{1002=eng-rus}
29307	2196	10000-kreekly/mp3/Justin/concrete.mp3	бетон	{1008=justin}	{1002=eng-rus}
29307	119084	10000-kreekly/mp3/Justin/concrete.mp3	бетон, бетонировать	{1008=justin}	{1002=eng-rus}
