factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
2188	2190	material	материал	{}	{1002=eng-rus}
2191	2193	stone	камень	{}	{1002=eng-rus}
2194	2196	concrete	бетон	{}	{1002=eng-rus}
2194	119084	concrete	бетон, бетонировать	{}	{1002=eng-rus}
2194	128838	concrete	бетон, сгущать, конкретный	{}	{1002=eng-rus}
2197	2199	brick	кирпич	{}	{1002=eng-rus}
2200	2202	metal	металл	{}	{1002=eng-rus}
2200	129884	metal	металл, металлический	{}	{1002=eng-rus}
2203	2205	rubber	резина	{}	{1002=eng-rus}
2203	82853	rubber	резинка	{}	{1002=eng-rus}
2203	124097	rubber	резина, резиновый	{}	{1002=eng-rus}
2206	2208	glass	стекло	{}	{1002=eng-rus}
2206	3902	glass	стакан	{}	{1002=eng-rus}
2206	20763	glass	бокал	{}	{1002=eng-rus}
2206	120966	glass	стекло или стакан	{}	{1002=eng-rus}
2206	125256	glass	стакан, бокал	{}	{1002=eng-rus}
2209	2211	wood	древесина	{}	{1002=eng-rus}
2209	9627	wood	дерево	{}	{1002=eng-rus}
2209	125200	wood	древесина, лес	{}	{1002=eng-rus}
2209	126277	wood	лес, древесина, дрова	{}	{1002=eng-rus}
2212	2214	plastic	пластик	{}	{1002=eng-rus}
2212	129876	plastic	пластмасса, пластичный	{}	{1002=eng-rus}
2215	2217	paper	бумага	{}	{1002=eng-rus}
2215	122979	paper	бумага, документ	{}	{1002=eng-rus}
2215	126380	paper	бумага, газета	{}	{1002=eng-rus}
2218	2220	carton	картон	{}	{1002=eng-rus}
2218	132531	carton	коробка	{}	{1002=eng-rus}
2221	2223	gypsum	гипс	{}	{1002=eng-rus}
2224	2226	clay	глина	{}	{1002=eng-rus}
2224	125973	clay	глина, земля	{}	{1002=eng-rus}
2227	2229	leather	кожа	{}	{1002=eng-rus}
2227	121985	leather	кожаный, кожа	{}	{1002=eng-rus}
2227	129476	leather	кожа, кожаный	{}	{1002=eng-rus}
2230	2232	cloth	ткань	{}	{1002=eng-rus}
2230	118876	cloth	ткань, тряпка	{}	{1002=eng-rus}
2233	2235	wool	шерсть	{}	{1002=eng-rus}
2233	125201	wool	шерсть, шерстяной	{}	{1002=eng-rus}
2236	2238	silk	шелк	{}	{1002=eng-rus}
2236	129487	silk	шелковый, шелк	{}	{1002=eng-rus}
