factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
23728	2297	10000-kreekly/mp3/Joey/vegetable.mp3	овощ	{1008=joey}	{1002=eng-rus}
23728	133789	10000-kreekly/mp3/Joey/vegetable.mp3	овощ, растение, овощной	{1008=joey}	{1002=eng-rus}
23729	2297	10000-kreekly/mp3/Kendra/vegetable.mp3	овощ	{1008=kendra}	{1002=eng-rus}
23729	133789	10000-kreekly/mp3/Kendra/vegetable.mp3	овощ, растение, овощной	{1008=kendra}	{1002=eng-rus}
23730	2297	10000-kreekly/mp3/Kimberly/vegetable.mp3	овощ	{1008=kimberly}	{1002=eng-rus}
23730	133789	10000-kreekly/mp3/Kimberly/vegetable.mp3	овощ, растение, овощной	{1008=kimberly}	{1002=eng-rus}
23731	2297	10000-kreekly/mp3/Justin/vegetable.mp3	овощ	{1008=justin}	{1002=eng-rus}
23731	133789	10000-kreekly/mp3/Justin/vegetable.mp3	овощ, растение, овощной	{1008=justin}	{1002=eng-rus}
23732	2297	10000-kreekly/mp3/Joanna/vegetable.mp3	овощ	{1008=joanna}	{1002=eng-rus}
23732	133789	10000-kreekly/mp3/Joanna/vegetable.mp3	овощ, растение, овощной	{1008=joanna}	{1002=eng-rus}
23733	2297	10000-kreekly/mp3/Salli/vegetable.mp3	овощ	{1008=salli}	{1002=eng-rus}
23733	133789	10000-kreekly/mp3/Salli/vegetable.mp3	овощ, растение, овощной	{1008=salli}	{1002=eng-rus}
23734	2297	10000-kreekly/mp3/Matthew/vegetable.mp3	овощ	{1008=matthew}	{1002=eng-rus}
23734	133789	10000-kreekly/mp3/Matthew/vegetable.mp3	овощ, растение, овощной	{1008=matthew}	{1002=eng-rus}
133790	2297	8000-wordsteps/mp3/vegetable.mp3	овощ	{}	{1002=eng-rus}
133790	133789	8000-wordsteps/mp3/vegetable.mp3	овощ, растение, овощной	{}	{1002=eng-rus}
37673	2306	10000-kreekly/mp3/Joey/bean.mp3	бобы	{1008=joey}	{1002=eng-rus}
37673	37672	10000-kreekly/mp3/Joey/bean.mp3	боб	{1008=joey}	{1002=eng-rus}
37674	2306	10000-kreekly/mp3/Kendra/bean.mp3	бобы	{1008=kendra}	{1002=eng-rus}
37674	37672	10000-kreekly/mp3/Kendra/bean.mp3	боб	{1008=kendra}	{1002=eng-rus}
37675	2306	10000-kreekly/mp3/Kimberly/bean.mp3	бобы	{1008=kimberly}	{1002=eng-rus}
37675	37672	10000-kreekly/mp3/Kimberly/bean.mp3	боб	{1008=kimberly}	{1002=eng-rus}
37676	2306	10000-kreekly/mp3/Justin/bean.mp3	бобы	{1008=justin}	{1002=eng-rus}
37676	37672	10000-kreekly/mp3/Justin/bean.mp3	боб	{1008=justin}	{1002=eng-rus}
37677	2306	10000-kreekly/mp3/Joanna/bean.mp3	бобы	{1008=joanna}	{1002=eng-rus}
37677	37672	10000-kreekly/mp3/Joanna/bean.mp3	боб	{1008=joanna}	{1002=eng-rus}
37678	2306	10000-kreekly/mp3/Salli/bean.mp3	бобы	{1008=salli}	{1002=eng-rus}
37678	37672	10000-kreekly/mp3/Salli/bean.mp3	боб	{1008=salli}	{1002=eng-rus}
37679	2306	10000-kreekly/mp3/Matthew/bean.mp3	бобы	{1008=matthew}	{1002=eng-rus}
37679	37672	10000-kreekly/mp3/Matthew/bean.mp3	боб	{1008=matthew}	{1002=eng-rus}
118088	2306	5000-studynow/mp3/bean.mp3	бобы	{}	{1002=eng-rus}
118088	37672	5000-studynow/mp3/bean.mp3	боб	{}	{1002=eng-rus}
126584	2306	8000-wordsteps/mp3/bean.mp3	бобы	{}	{1002=eng-rus}
126584	37672	8000-wordsteps/mp3/bean.mp3	боб	{}	{1002=eng-rus}
65338	2309	10000-kreekly/mp3/Joey/pea.mp3	горох	{1008=joey}	{1002=eng-rus}
65338	123063	10000-kreekly/mp3/Joey/pea.mp3	горошина	{1008=joey}	{1002=eng-rus}
65339	2309	10000-kreekly/mp3/Kendra/pea.mp3	горох	{1008=kendra}	{1002=eng-rus}
65339	123063	10000-kreekly/mp3/Kendra/pea.mp3	горошина	{1008=kendra}	{1002=eng-rus}
65340	2309	10000-kreekly/mp3/Kimberly/pea.mp3	горох	{1008=kimberly}	{1002=eng-rus}
65340	123063	10000-kreekly/mp3/Kimberly/pea.mp3	горошина	{1008=kimberly}	{1002=eng-rus}
65341	2309	10000-kreekly/mp3/Justin/pea.mp3	горох	{1008=justin}	{1002=eng-rus}
65341	123063	10000-kreekly/mp3/Justin/pea.mp3	горошина	{1008=justin}	{1002=eng-rus}
65342	2309	10000-kreekly/mp3/Joanna/pea.mp3	горох	{1008=joanna}	{1002=eng-rus}
65342	123063	10000-kreekly/mp3/Joanna/pea.mp3	горошина	{1008=joanna}	{1002=eng-rus}
65343	2309	10000-kreekly/mp3/Salli/pea.mp3	горох	{1008=salli}	{1002=eng-rus}
65343	123063	10000-kreekly/mp3/Salli/pea.mp3	горошина	{1008=salli}	{1002=eng-rus}
65344	2309	10000-kreekly/mp3/Matthew/pea.mp3	горох	{1008=matthew}	{1002=eng-rus}
65344	123063	10000-kreekly/mp3/Matthew/pea.mp3	горошина	{1008=matthew}	{1002=eng-rus}
123064	2309	5000-studynow/mp3/pea.mp3	горох	{}	{1002=eng-rus}
