factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
2295	2297	vegetable	овощ	{}	{1002=eng-rus}
2295	133789	vegetable	овощ, растение, овощной	{}	{1002=eng-rus}
2298	2300	basil	базилик	{}	{1002=eng-rus}
2301	2303	eggplant	баклажаны	{}	{1002=eng-rus}
2301	5619	eggplant	баклажан	{}	{1002=eng-rus}
2304	2306	bean	бобы	{}	{1002=eng-rus}
2304	37672	bean	боб	{}	{1002=eng-rus}
2307	2309	pea	горох	{}	{1002=eng-rus}
2307	123063	pea	горошина	{}	{1002=eng-rus}
2310	2312	cabbage	капуста	{}	{1002=eng-rus}
2313	2315	potato	картофель	{}	{1002=eng-rus}
2316	2318	onion	лук	{}	{1002=eng-rus}
2316	122811	onion	лук, луковица	{}	{1002=eng-rus}
2319	2321	carrot	морковь	{}	{1002=eng-rus}
2322	2324	cucumber	огурец	{}	{1002=eng-rus}
2325	2327	pepper	перец	{}	{1002=eng-rus}
2328	2330	parsley	петрушка	{}	{1002=eng-rus}
2328	125589	parsley	петрушка (бот.)	{}	{1002=eng-rus}
2331	2333	tomato	помидор	{}	{1002=eng-rus}
2331	125519	tomato	томат, помидор	{}	{1002=eng-rus}
2334	2336	radish	редис	{}	{1002=eng-rus}
2334	5628	radish	редиска	{}	{1002=eng-rus}
2337	2339	beet	свекла	{}	{1002=eng-rus}
60104	60106	beetroot	свекла	{}	{1002=eng-rus}
60104	125638	beetroot	красная свекла	{}	{1002=eng-rus}
2340	2342	celery	сельдерей	{}	{1002=eng-rus}
2343	2345	pumpkin	тыква	{}	{1002=eng-rus}
2346	2348	dill	укроп	{}	{1002=eng-rus}
2349	2351	haricot	фасоль	{}	{1002=eng-rus}
2352	2354	garlic	чеснок	{}	{1002=eng-rus}
2355	2357	sorrel	щавель	{}	{1002=eng-rus}
