itemValue	factValueQuestion	factValueAnswer	factTypeQuestion	factTypeAnswer
black	1000-puzzle-english/mp3/collins_UK/black.mp3	black	1003	1001
black	1000-puzzle-english/mp3/freedictionary_UK/black.mp3	black	1003	1001
black	1000-puzzle-english/mp3/peterBaker_UK/black.mp3	black	1003	1001
black	1000-puzzle-english/mp3/vocalware_hugh_UK/black.mp3	black	1003	1001
black	10000-kreekly/mp3/Joanna/black.mp3	black	1003	1001
blue	1000-puzzle-english/mp3/SteveElliott_UK/blue.mp3	blue	1003	1001
blue	1000-puzzle-english/mp3/howjsay_UK/blue.mp3	blue	1003	1001
blue	1000-puzzle-english/mp3/yandex_UK/blue.mp3	blue	1003	1001
blue	10000-kreekly/mp3/Kendra/blue.mp3	blue	1003	1001
blue	10000-kreekly/mp3/Salli/blue.mp3	blue	1003	1001
gray	1000-puzzle-english/mp3/freedictionary_UK/gray.mp3	gray	1003	1001
gray	10000-kreekly/mp3/Ivy/gray.mp3	gray	1003	1001
gray	10000-kreekly/mp3/Joanna/gray.mp3	gray	1003	1001
gray	10000-kreekly/mp3/Justin/gray.mp3	gray	1003	1001
gray	8000-wordsteps/mp3/gray.mp3	gray	1003	1001
green	1000-puzzle-english/mp3/collins_US/green.mp3	green	1003	1001
green	1000-puzzle-english/mp3/freedictionary_UK/green.mp3	green	1003	1001
green	1000-puzzle-english/mp3/freedictionary_US/green.mp3	green	1003	1001
green	1000-puzzle-english/mp3/macmillan_UK/green.mp3	green	1003	1001
green	10000-kreekly/mp3/Kendra/green.mp3	green	1003	1001
orange	10000-kreekly/mp3/Joanna/orange.mp3	orange	1003	1001
orange	10000-kreekly/mp3/Justin/orange.mp3	orange	1003	1001
orange	10000-kreekly/mp3/Kimberly/orange.mp3	orange	1003	1001
orange	10000-kreekly/mp3/Matthew/orange.mp3	orange	1003	1001
orange	10000-kreekly/mp3/Salli/orange.mp3	orange	1003	1001
pink	10000-kreekly/mp3/Joey/pink.mp3	pink	1003	1001
pink	10000-kreekly/mp3/Justin/pink.mp3	pink	1003	1001
pink	10000-kreekly/mp3/Kimberly/pink.mp3	pink	1003	1001
pink	10000-kreekly/mp3/Salli/pink.mp3	pink	1003	1001
pink	8000-wordsteps/mp3/pink.mp3	pink	1003	1001
red	1000-puzzle-english/mp3/collins_UK/red.mp3	red	1003	1001
red	1000-puzzle-english/mp3/freedictionary_US/red.mp3	red	1003	1001
red	1000-puzzle-english/mp3/peterBaker_UK/red.mp3	red	1003	1001
red	10000-kreekly/mp3/Ivy/red.mp3	red	1003	1001
red	10000-kreekly/mp3/Joanna/red.mp3	red	1003	1001
violet	10000-kreekly/mp3/Joanna/violet.mp3	violet	1003	1001
violet	10000-kreekly/mp3/Joey/violet.mp3	violet	1003	1001
violet	10000-kreekly/mp3/Kimberly/violet.mp3	violet	1003	1001
violet	10000-kreekly/mp3/Matthew/violet.mp3	violet	1003	1001
violet	10000-kreekly/mp3/Salli/violet.mp3	violet	1003	1001
white	1000-puzzle-english/mp3/campbridge_UK/white.mp3	white	1003	1001
white	1000-puzzle-english/mp3/campbridge_US/white.mp3	white	1003	1001
white	1000-puzzle-english/mp3/freedictionary_UK/white.mp3	white	1003	1001
white	1000-puzzle-english/mp3/vocalware_hugh_UK/white.mp3	white	1003	1001
white	10000-kreekly/mp3/Salli/white.mp3	white	1003	1001
yellow	1000-puzzle-english/mp3/collins_UK/yellow.mp3	yellow	1003	1001
yellow	1000-puzzle-english/mp3/freedictionary_UK/yellow.mp3	yellow	1003	1001
yellow	1000-puzzle-english/mp3/howjsay_UK/yellow.mp3	yellow	1003	1001
yellow	10000-kreekly/mp3/Ivy/yellow.mp3	yellow	1003	1001
yellow	8000-wordsteps/mp3/yellow.mp3	yellow	1003	1001
