itemValue	factValueQuestion	factValueAnswer	factTypeQuestion	factTypeAnswer
black	1000-puzzle-english/mp3/SteveElliott_UK/black.mp3	черный	1003	1002
black	1000-puzzle-english/mp3/collins_US/black.mp3	черный	1003	1002
black	10000-kreekly/mp3/Matthew/black.mp3	черный	1003	1002
black	10000-kreekly/mp3/Salli/black.mp3	черный	1003	1002
black	8000-wordsteps/mp3/black.mp3	черный	1003	1002
blue	1000-puzzle-english/mp3/SteveElliott_UK/blue.mp3	синий	1003	1002
blue	1000-puzzle-english/mp3/campbridge_UK/blue.mp3	синий	1003	1002
blue	1000-puzzle-english/mp3/collins_UK/blue.mp3	синий	1003	1002
blue	10000-kreekly/mp3/Joey/blue.mp3	синий	1003	1002
blue	10000-kreekly/mp3/Salli/blue.mp3	синий	1003	1002
gray	1000-puzzle-english/mp3/vocalware_hugh_UK/gray.mp3	серый	1003	1002
gray	10000-kreekly/mp3/Ivy/gray.mp3	серый	1003	1002
gray	10000-kreekly/mp3/Joanna/gray.mp3	серый	1003	1002
gray	10000-kreekly/mp3/Justin/gray.mp3	серый	1003	1002
gray	10000-kreekly/mp3/Kimberly/gray.mp3	серый	1003	1002
green	1000-puzzle-english/mp3/SteveElliott_UK/green.mp3	зеленый	1003	1002
green	1000-puzzle-english/mp3/campbridge_UK/green.mp3	зеленый	1003	1002
green	1000-puzzle-english/mp3/freedictionary_UK/green.mp3	зеленый	1003	1002
green	1000-puzzle-english/mp3/macmillan_UK/green.mp3	зеленый	1003	1002
green	10000-kreekly/mp3/Justin/green.mp3	зеленый	1003	1002
orange	10000-kreekly/mp3/Justin/orange.mp3	оранжевый	1003	1002
orange	10000-kreekly/mp3/Kendra/orange.mp3	оранжевый	1003	1002
orange	10000-kreekly/mp3/Kimberly/orange.mp3	оранжевый	1003	1002
orange	10000-kreekly/mp3/Matthew/orange.mp3	оранжевый	1003	1002
orange	8000-wordsteps/mp3/orange.mp3	оранжевый	1003	1002
pink	10000-kreekly/mp3/Justin/pink.mp3	розовый	1003	1002
pink	10000-kreekly/mp3/Kimberly/pink.mp3	розовый	1003	1002
pink	10000-kreekly/mp3/Matthew/pink.mp3	розовый	1003	1002
pink	10000-kreekly/mp3/Salli/pink.mp3	розовый	1003	1002
pink	8000-wordsteps/mp3/pink.mp3	розовый	1003	1002
red	1000-puzzle-english/mp3/collins_UK/red.mp3	красный	1003	1002
red	1000-puzzle-english/mp3/vocalware_hugh_UK/red.mp3	красный	1003	1002
red	10000-kreekly/mp3/Ivy/red.mp3	красный	1003	1002
red	10000-kreekly/mp3/Joanna/red.mp3	красный	1003	1002
red	10000-kreekly/mp3/Matthew/red.mp3	красный	1003	1002
violet	10000-kreekly/mp3/Joey/violet.mp3	фиолетовый	1003	1002
violet	10000-kreekly/mp3/Justin/violet.mp3	фиолетовый	1003	1002
violet	10000-kreekly/mp3/Kendra/violet.mp3	фиолетовый	1003	1002
violet	10000-kreekly/mp3/Matthew/violet.mp3	фиолетовый	1003	1002
violet	10000-kreekly/mp3/Salli/violet.mp3	фиолетовый	1003	1002
white	1000-puzzle-english/mp3/SteveElliott_UK/white.mp3	белый	1003	1002
white	1000-puzzle-english/mp3/campbridge_US/white.mp3	белый	1003	1002
white	1000-puzzle-english/mp3/collins_UK/white.mp3	белый	1003	1002
white	1000-puzzle-english/mp3/freedictionary_US/white.mp3	белый	1003	1002
white	10000-kreekly/mp3/Matthew/white.mp3	белый	1003	1002
yellow	1000-puzzle-english/mp3/SteveElliott_UK/yellow.mp3	желтый	1003	1002
yellow	1000-puzzle-english/mp3/freedictionary_US/yellow.mp3	желтый	1003	1002
yellow	1000-puzzle-english/mp3/macmillan_UK/yellow.mp3	желтый	1003	1002
yellow	1000-puzzle-english/mp3/yandex_UK/yellow.mp3	желтый	1003	1002
yellow	10000-kreekly/mp3/Joey/yellow.mp3	желтый	1003	1002
