itemValue	factValueQuestion	factValueAnswer	factTypeQuestion	factTypeAnswer
amber	10000-kreekly/mp3/Joanna/amber.mp3	янтарный	1003	1002
amber	10000-kreekly/mp3/Joey/amber.mp3	янтарный	1003	1002
amber	10000-kreekly/mp3/Justin/amber.mp3	янтарный	1003	1002
amber	10000-kreekly/mp3/Kendra/amber.mp3	янтарный	1003	1002
amber	10000-kreekly/mp3/Salli/amber.mp3	янтарный	1003	1002
ash	10000-kreekly/mp3/Justin/ash.mp3	пепельно-серый	1003	1002
ash	10000-kreekly/mp3/Kendra/ash.mp3	пепельно-серый	1003	1002
ash	10000-kreekly/mp3/Matthew/ash.mp3	пепельно-серый	1003	1002
ash	10000-kreekly/mp3/Salli/ash.mp3	пепельно-серый	1003	1002
ash	8000-wordsteps/mp3/ash.mp3	пепельно-серый	1003	1002
beige	10000-kreekly/mp3/Joanna/beige.mp3	бежевый	1003	1002
beige	10000-kreekly/mp3/Joey/beige.mp3	бежевый	1003	1002
beige	10000-kreekly/mp3/Justin/beige.mp3	бежевый	1003	1002
beige	10000-kreekly/mp3/Kimberly/beige.mp3	бежевый	1003	1002
beige	5000-studynow/mp3/beige.mp3	бежевый	1003	1002
black	1000-puzzle-english/mp3/SteveElliott_UK/black.mp3	черный	1003	1002
black	1000-puzzle-english/mp3/campbridge_UK/black.mp3	черный	1003	1002
black	1000-puzzle-english/mp3/collins_UK/black.mp3	черный	1003	1002
black	1000-puzzle-english/mp3/howjsay_UK/black.mp3	черный	1003	1002
black	1000-puzzle-english/mp3/yandex_UK/black.mp3	черный	1003	1002
blue	1000-puzzle-english/mp3/peterBaker_UK/blue.mp3	синий	1003	1002
blue	10000-kreekly/mp3/Joanna/blue.mp3	синий	1003	1002
blue	10000-kreekly/mp3/Kendra/blue.mp3	синий	1003	1002
blue	10000-kreekly/mp3/Kimberly/blue.mp3	синий	1003	1002
blue	8000-wordsteps/mp3/blue.mp3	синий	1003	1002
bronze	10000-kreekly/mp3/Joanna/bronze.mp3	бронзовый	1003	1002
bronze	10000-kreekly/mp3/Joey/bronze.mp3	бронзовый	1003	1002
bronze	10000-kreekly/mp3/Kendra/bronze.mp3	бронзовый	1003	1002
bronze	10000-kreekly/mp3/Kimberly/bronze.mp3	бронзовый	1003	1002
bronze	8000-wordsteps/mp3/bronze.mp3	бронзовый	1003	1002
brown	1000-puzzle-english/mp3/collins_US/brown.mp3	коричневый	1003	1002
brown	1000-puzzle-english/mp3/vocalware_hugh_UK/brown.mp3	коричневый	1003	1002
brown	10000-kreekly/mp3/Justin/brown.mp3	коричневый	1003	1002
brown	10000-kreekly/mp3/Salli/brown.mp3	коричневый	1003	1002
brown	8000-wordsteps/mp3/brown.mp3	коричневый	1003	1002
copper	10000-kreekly/mp3/Joanna/copper.mp3	медный	1003	1002
copper	10000-kreekly/mp3/Joey/copper.mp3	медный	1003	1002
copper	10000-kreekly/mp3/Matthew/copper.mp3	медный	1003	1002
copper	10000-kreekly/mp3/Salli/copper.mp3	медный	1003	1002
copper	8000-wordsteps/mp3/copper.mp3	медный	1003	1002
coral	10000-kreekly/mp3/Joanna/coral.mp3	коралловый	1003	1002
coral	10000-kreekly/mp3/Joey/coral.mp3	коралловый	1003	1002
coral	10000-kreekly/mp3/Justin/coral.mp3	коралловый	1003	1002
coral	10000-kreekly/mp3/Salli/coral.mp3	коралловый	1003	1002
coral	8000-wordsteps/mp3/coral.mp3	коралловый	1003	1002
cream	10000-kreekly/mp3/Joanna/cream.mp3	кремовый	1003	1002
cream	10000-kreekly/mp3/Kendra/cream.mp3	кремовый	1003	1002
cream	10000-kreekly/mp3/Kimberly/cream.mp3	кремовый	1003	1002
cream	10000-kreekly/mp3/Matthew/cream.mp3	кремовый	1003	1002
cream	5000-studynow/mp3/cream.mp3	кремовый	1003	1002
dark	1000-puzzle-english/mp3/collins_UK/dark.mp3	темный	1003	1002
dark	1000-puzzle-english/mp3/peterBaker_UK/dark.mp3	темный	1003	1002
dark	1000-puzzle-english/mp3/yandex_UK/dark.mp3	темный	1003	1002
dark	10000-kreekly/mp3/Joanna/dark.mp3	темный	1003	1002
dark	10000-kreekly/mp3/Justin/dark.mp3	темный	1003	1002
dull	10000-kreekly/mp3/Joey/dull.mp3	тусклый	1003	1002
dull	10000-kreekly/mp3/Justin/dull.mp3	тусклый	1003	1002
dull	10000-kreekly/mp3/Matthew/dull.mp3	тусклый	1003	1002
dull	10000-kreekly/mp3/Salli/dull.mp3	тусклый	1003	1002
dull	8000-wordsteps/mp3/dull.mp3	тусклый	1003	1002
emerald	10000-kreekly/mp3/Joanna/emerald.mp3	изумрудный	1003	1002
emerald	10000-kreekly/mp3/Joey/emerald.mp3	изумрудный	1003	1002
emerald	10000-kreekly/mp3/Justin/emerald.mp3	изумрудный	1003	1002
emerald	10000-kreekly/mp3/Kendra/emerald.mp3	изумрудный	1003	1002
emerald	10000-kreekly/mp3/Kimberly/emerald.mp3	изумрудный	1003	1002
gold	1000-puzzle-english/mp3/freedictionary_UK/gold.mp3	золотой	1003	1002
gold	1000-puzzle-english/mp3/howjsay_UK/gold.mp3	золотой	1003	1002
gold	1000-puzzle-english/mp3/peterBaker_UK/gold.mp3	золотой	1003	1002
gold	1000-puzzle-english/mp3/yandex_UK/gold.mp3	золотой	1003	1002
gold	10000-kreekly/mp3/Salli/gold.mp3	золотой	1003	1002
golden	10000-kreekly/mp3/Joanna/golden.mp3	золотистый	1003	1002
golden	10000-kreekly/mp3/Joey/golden.mp3	золотистый	1003	1002
golden	10000-kreekly/mp3/Justin/golden.mp3	золотистый	1003	1002
golden	10000-kreekly/mp3/Kimberly/golden.mp3	золотистый	1003	1002
golden	10000-kreekly/mp3/Salli/golden.mp3	золотистый	1003	1002
gray	1000-puzzle-english/mp3/campbridge_US/gray.mp3	серый	1003	1002
gray	1000-puzzle-english/mp3/collins_UK/gray.mp3	серый	1003	1002
gray	1000-puzzle-english/mp3/freedictionary_UK/gray.mp3	серый	1003	1002
gray	1000-puzzle-english/mp3/howjsay_UK/gray.mp3	серый	1003	1002
gray	10000-kreekly/mp3/Kendra/gray.mp3	серый	1003	1002
green	1000-puzzle-english/mp3/campbridge_UK/green.mp3	зеленый	1003	1002
green	1000-puzzle-english/mp3/collins_UK/green.mp3	зеленый	1003	1002
green	1000-puzzle-english/mp3/macmillan_UK/green.mp3	зеленый	1003	1002
green	10000-kreekly/mp3/Joey/green.mp3	зеленый	1003	1002
green	10000-kreekly/mp3/Salli/green.mp3	зеленый	1003	1002
ivory	10000-kreekly/mp3/Joanna/ivory.mp3	слоновая кость	1003	1002
ivory	10000-kreekly/mp3/Kendra/ivory.mp3	слоновая кость	1003	1002
ivory	10000-kreekly/mp3/Kimberly/ivory.mp3	слоновая кость	1003	1002
ivory	10000-kreekly/mp3/Matthew/ivory.mp3	слоновая кость	1003	1002
ivory	10000-kreekly/mp3/Salli/ivory.mp3	слоновая кость	1003	1002
lemon	10000-kreekly/mp3/Joanna/lemon.mp3	лимонный	1003	1002
lemon	10000-kreekly/mp3/Kendra/lemon.mp3	лимонный	1003	1002
lemon	10000-kreekly/mp3/Matthew/lemon.mp3	лимонный	1003	1002
lemon	10000-kreekly/mp3/Salli/lemon.mp3	лимонный	1003	1002
lemon	8000-wordsteps/mp3/lemon.mp3	лимонный	1003	1002
light	1000-puzzle-english/mp3/howjsay_UK/light.mp3	светлый	1003	1002
light	1000-puzzle-english/mp3/peterBaker_UK/light.mp3	светлый	1003	1002
light	10000-kreekly/mp3/Justin/light.mp3	светлый	1003	1002
light	10000-kreekly/mp3/Salli/light.mp3	светлый	1003	1002
light	8000-wordsteps/mp3/light.mp3	светлый	1003	1002
lilac	10000-kreekly/mp3/Joey/lilac.mp3	сиреневый	1003	1002
lilac	10000-kreekly/mp3/Justin/lilac.mp3	сиреневый	1003	1002
lilac	10000-kreekly/mp3/Kimberly/lilac.mp3	сиреневый	1003	1002
lilac	10000-kreekly/mp3/Matthew/lilac.mp3	сиреневый	1003	1002
lilac	10000-kreekly/mp3/Salli/lilac.mp3	сиреневый	1003	1002
navy	10000-kreekly/mp3/Joanna/navy.mp3	темно-синий	1003	1002
navy	10000-kreekly/mp3/Justin/navy.mp3	темно-синий	1003	1002
navy	10000-kreekly/mp3/Kendra/navy.mp3	темно-синий	1003	1002
navy	10000-kreekly/mp3/Kimberly/navy.mp3	темно-синий	1003	1002
navy	10000-kreekly/mp3/Salli/navy.mp3	темно-синий	1003	1002
olive	10000-kreekly/mp3/Joanna/olive.mp3	оливковый	1003	1002
