itemValue	factValueQuestion	factValueAnswer	factDataTypeQuestion	factDataTypeAnswer
айран	айран	кефир	1001	1002
аскөк	аскөк	зелень	1001	1002
ашытқы	ашытқы	дрожжи	1001	1002
ақуыз	ақуыз	белок	1001	1002
бадам	бадам	миндаль	1001	1002
бал	бал	мёд	1001	1002
балмұздақ	балмұздақ	мороженое	1001	1002
балық	балық	рыба	1001	1002
балық сорпасы	балық сорпасы	уха	1001	1002
бауырсақ	бауырсақ	баурсак	1001	1002
бесбармақ	бесбармақ	бешбармак	1001	1002
бидай ұны	бидай ұны	пшеничная мука	1001	1002
ботқа	ботқа	каша	1001	1002
бәліш	бәліш	беляш	1001	1002
бәліш	бәліш	пирожок	1001	1002
бөлке нан	бөлке нан	булка	1001	1002
грек жаңғағы	грек жаңғағы	грецкий орех	1001	1002
десерт	десерт	десерт	1001	1002
джем	джем	джем	1001	1002
дәнді	дәнді	злаки	1001	1002
езбе	езбе	пюре	1001	1002
ет	ет	мясо	1001	1002
жарма	жарма	крупа	1001	1002
жаңғақ	жаңғақ	орех	1001	1002
жеміс-жидек	жеміс-жидек	фрукты-ягоды	1001	1002
жержаңғақ	жержаңғақ	арахис	1001	1002
жылқы еті	жылқы еті	конина	1001	1002
жүгері	жүгері	кукуруза	1001	1002
жұмыртқа	жұмыртқа	яйцо	1001	1002
зәйтүн майы	зәйтүн майы	оливковое масло	1001	1002
йогурт	йогурт	йогурт	1001	1002
какао	какао	какао	1001	1002
картоп езбесі	картоп езбесі	картофельное пюре	1001	1002
кептірген өрік	кептірген өрік	курага	1001	1002
кеспе	кеспе	лапша	1001	1002
компот	компот	компот	1001	1002
котлет	котлет	котлеты	1001	1002
кофе	кофе	кофе	1001	1002
кілегей	кілегей	сливки	1001	1002
күнбағыс майы	күнбағыс майы	подсолнечное масло	1001	1002
күрке тауық еті	күрке тауық еті	индейка	1001	1002
күріш	күріш	рис	1001	1002
кәмпит	кәмпит	конфеты	1001	1002
кәуап	кәуап	шашлык	1001	1002
көже (сорпа)	көже (сорпа)	суп	1001	1002
көкөніс	көкөніс	овощи	1001	1002
май	май	масло	1001	1002
макарондар	макарондар	макароны	1001	1002
мейіз	мейіз	изюм	1001	1002
минералды су	минералды су	минеральная вода	1001	1002
мәнті	мәнті	манты	1001	1002
нан	нан	хлеб	1001	1002
орама	орама	рулет	1001	1002
палау	палау	плов	1001	1002
печенье	печенье	печенье	1001	1002
сары май	сары май	сливочное масло	1001	1002
сарыуыз	сарыуыз	желток	1001	1002
саңырауқұлақ	саңырауқұлақ	гриб	1001	1002
сиыр еті	сиыр еті	говядина	1001	1002
сорпа	сорпа	бульон / суп	1001	1002
сусын	сусын	напиток	1001	1002
сыра	сыра	пиво	1001	1002
сүзбе	сүзбе	творог	1001	1002
сүт	сүт	молоко	1001	1002
тамақ	тамақ	еда	1001	1002
тартылған ет	тартылған ет	фарш	1001	1002
тауық еті	тауық еті	куриное мясо	1001	1002
тосап	тосап	варенье	1001	1002
тұз	тұз	соль	1001	1002
тұшпара	тұшпара	пельмени	1001	1002
тәттілер	тәттілер	сладости	1001	1002
уылдырық	уылдырық	икра	1001	1002
фарш	фарш	фарш	1001	1002
шай	шай	чай	1001	1002
шелпек	шелпек	лепёшка	1001	1002
шырын	шырын	сок	1001	1002
шұжық	шұжық	колбаса	1001	1002
шұжықша	шұжықша	сосиска	1001	1002
ірімшік	ірімшік	сыр	1001	1002
ірімшік	ірімшік	творог	1001	1002
қаймақ	қаймақ	сметана	1001	1002
қамыр	қамыр	тесто	1001	1002
қант	қант	сахар	1001	1002
қарақұмық жармасы	қарақұмық жармасы	гречневая крупа	1001	1002
қой еті	қой еті	баранина	1001	1002
қуырдақ	қуырдақ	жаркое	1001	1002
қуырдақ	қуырдақ	куырдак	1001	1002
қытырлақ	қытырлақ	хворост	1001	1002
қыша	қыша	горчица	1001	1002
құймақ	құймақ	блины	1001	1002
ұн	ұн	мука	1001	1002
