itemValue	factValueQuestion	factValueAnswer	factDataTypeQuestion	factDataTypeAnswer
айран	кефир	айран	1002	1001
аскөк	зелень	аскөк	1002	1001
ашытқы	дрожжи	ашытқы	1002	1001
ақуыз	белок	ақуыз	1002	1001
бадам	миндаль	бадам	1002	1001
бал	мёд	бал	1002	1001
балмұздақ	мороженое	балмұздақ	1002	1001
балық	рыба	балық	1002	1001
балық сорпасы	уха	балық сорпасы	1002	1001
бауырсақ	баурсак	бауырсақ	1002	1001
бесбармақ	бешбармак	бесбармақ	1002	1001
бидай ұны	пшеничная мука	бидай ұны	1002	1001
ботқа	каша	ботқа	1002	1001
бәліш	беляш	бәліш	1002	1001
бәліш	пирожок	бәліш	1002	1001
бөлке нан	булка	бөлке нан	1002	1001
грек жаңғағы	грецкий орех	грек жаңғағы	1002	1001
десерт	десерт	десерт	1002	1001
джем	джем	джем	1002	1001
дәнді	злаки	дәнді	1002	1001
езбе	пюре	езбе	1002	1001
ет	мясо	ет	1002	1001
жарма	крупа	жарма	1002	1001
жаңғақ	орех	жаңғақ	1002	1001
жеміс-жидек	фрукты-ягоды	жеміс-жидек	1002	1001
жержаңғақ	арахис	жержаңғақ	1002	1001
жылқы еті	конина	жылқы еті	1002	1001
жүгері	кукуруза	жүгері	1002	1001
жұмыртқа	яйцо	жұмыртқа	1002	1001
зәйтүн майы	оливковое масло	зәйтүн майы	1002	1001
йогурт	йогурт	йогурт	1002	1001
какао	какао	какао	1002	1001
картоп езбесі	картофельное пюре	картоп езбесі	1002	1001
кептірген өрік	курага	кептірген өрік	1002	1001
кеспе	лапша	кеспе	1002	1001
компот	компот	компот	1002	1001
котлет	котлеты	котлет	1002	1001
кофе	кофе	кофе	1002	1001
кілегей	сливки	кілегей	1002	1001
күнбағыс майы	подсолнечное масло	күнбағыс майы	1002	1001
күрке тауық еті	индейка	күрке тауық еті	1002	1001
күріш	рис	күріш	1002	1001
кәмпит	конфеты	кәмпит	1002	1001
кәуап	шашлык	кәуап	1002	1001
көже (сорпа)	суп	көже (сорпа)	1002	1001
көкөніс	овощи	көкөніс	1002	1001
май	масло	май	1002	1001
макарондар	макароны	макарондар	1002	1001
мейіз	изюм	мейіз	1002	1001
минералды су	минеральная вода	минералды су	1002	1001
мәнті	манты	мәнті	1002	1001
нан	хлеб	нан	1002	1001
орама	рулет	орама	1002	1001
палау	плов	палау	1002	1001
печенье	печенье	печенье	1002	1001
сары май	сливочное масло	сары май	1002	1001
сарыуыз	желток	сарыуыз	1002	1001
саңырауқұлақ	гриб	саңырауқұлақ	1002	1001
сиыр еті	говядина	сиыр еті	1002	1001
сорпа	бульон / суп	сорпа	1002	1001
сусын	напиток	сусын	1002	1001
сыра	пиво	сыра	1002	1001
сүзбе	творог	сүзбе	1002	1001
сүт	молоко	сүт	1002	1001
тамақ	еда	тамақ	1002	1001
тартылған ет	фарш	тартылған ет	1002	1001
тауық еті	куриное мясо	тауық еті	1002	1001
тосап	варенье	тосап	1002	1001
тұз	соль	тұз	1002	1001
тұшпара	пельмени	тұшпара	1002	1001
тәттілер	сладости	тәттілер	1002	1001
уылдырық	икра	уылдырық	1002	1001
фарш	фарш	фарш	1002	1001
шай	чай	шай	1002	1001
шелпек	лепёшка	шелпек	1002	1001
шырын	сок	шырын	1002	1001
шұжық	колбаса	шұжық	1002	1001
шұжықша	сосиска	шұжықша	1002	1001
ірімшік	сыр	ірімшік	1002	1001
ірімшік	творог	ірімшік	1002	1001
қаймақ	сметана	қаймақ	1002	1001
қамыр	тесто	қамыр	1002	1001
қант	сахар	қант	1002	1001
қарақұмық жармасы	гречневая крупа	қарақұмық жармасы	1002	1001
қой еті	баранина	қой еті	1002	1001
қуырдақ	жаркое	қуырдақ	1002	1001
қуырдақ	куырдак	қуырдақ	1002	1001
қытырлақ	хворост	қытырлақ	1002	1001
қыша	горчица	қыша	1002	1001
құймақ	блины	құймақ	1002	1001
ұн	мука	ұн	1002	1001
