itemValue	factValueQuestion	factValueAnswer	factDataTypeQuestion	factDataTypeAnswer
айран	kz.sozdik.soyle.kz/mp3/32dda61b368dada4.mp3	кефир	1003	1002
аскөк	kz.sozdik.soyle.kz/mp3/68d1d7c8101e0b06.mp3	зелень	1003	1002
бал	kz.sozdik.soyle.kz/mp3/518d3c4523afcd59.mp3	мёд	1003	1002
балық	kz.sozdik.soyle.kz/mp3/08f084a5949eb015.mp3	рыба	1003	1002
бәліш	kz.sozdik.soyle.kz/mp3/da1551e9a0fd73b5.mp3	беляш	1003	1002
бәліш	kz.sozdik.soyle.kz/mp3/da1551e9a0fd73b5.mp3	пирожок	1003	1002
езбе	kz.sozdik.soyle.kz/mp3/b84d5ba9c599268a.mp3	пюре	1003	1002
ет	kz.sozdik.soyle.kz/mp3/a32d9af2a5f814c6.mp3	мясо	1003	1002
жарма	kz.sozdik.soyle.kz/mp3/e527995c047d037c.mp3	крупа	1003	1002
жеміс-жидек	kz.sozdik.soyle.kz/mp3/8579471246c90c63.mp3	фрукты-ягоды	1003	1002
жылқы еті	kz.sozdik.soyle.kz/mp3/7dfc4e4904f0198a.mp3	конина	1003	1002
жүгері	kz.sozdik.soyle.kz/mp3/11fb65d3ab130b8d.mp3	кукуруза	1003	1002
жұмыртқа	kz.sozdik.soyle.kz/mp3/0fa2a1413af4c2d2.mp3	яйцо	1003	1002
какао	kz.sozdik.soyle.kz/mp3/a0024c9a5103f0af.mp3	какао	1003	1002
кеспе	kz.sozdik.soyle.kz/mp3/6df2644a3063e7b1.mp3	лапша	1003	1002
котлет	kz.sozdik.soyle.kz/mp3/42f4d164acaa14c1.mp3	котлеты	1003	1002
кофе	kz.sozdik.soyle.kz/mp3/e443716c24bb1146.mp3	кофе	1003	1002
күріш	kz.sozdik.soyle.kz/mp3/4e82a1f2d9afdbe0.mp3	рис	1003	1002
кәмпит	kz.sozdik.soyle.kz/mp3/ff81c6772dca47fa.mp3	конфеты	1003	1002
көкөніс	kz.sozdik.soyle.kz/mp3/30bcdb953a0fb5e3.mp3	овощи	1003	1002
минералды су	kz.sozdik.soyle.kz/mp3/3f8be9514d7f17dd.mp3	минеральная вода	1003	1002
нан	kz.sozdik.soyle.kz/mp3/9891a36354c24c45.mp3	хлеб	1003	1002
сары май	kz.sozdik.soyle.kz/mp3/553cc92839986a56.mp3	сливочное масло	1003	1002
сиыр еті	kz.sozdik.soyle.kz/mp3/3762995323379971.mp3	говядина	1003	1002
сорпа	kz.sozdik.soyle.kz/mp3/f7150443273ec961.mp3	бульон / суп	1003	1002
сусын	kz.sozdik.soyle.kz/mp3/0dac83bc9c46346a.mp3	напиток	1003	1002
сүт	kz.sozdik.soyle.kz/mp3/51599144b5f6d949.mp3	молоко	1003	1002
тамақ	kz.sozdik.soyle.kz/mp3/21170c76f105409a.mp3	горло, еда	1003	1002
тамақ	kz.sozdik.soyle.kz/mp3/21170c76f105409a.mp3	еда	1003	1002
тартылған ет	kz.sozdik.soyle.kz/mp3/9fc8a42e22f1193d.mp3	фарш	1003	1002
тосап	kz.sozdik.soyle.kz/mp3/cf03eae274701d12.mp3	варенье	1003	1002
тұз	kz.sozdik.soyle.kz/mp3/b4faa1df264ce409.mp3	соль	1003	1002
шай	kz.sozdik.soyle.kz/mp3/c6ecbc38fac217b9.mp3	чай	1003	1002
шырын	kz.sozdik.soyle.kz/mp3/3342e944cb8527eb.mp3	сок	1003	1002
шұжық	kz.sozdik.soyle.kz/mp3/9792af3bc42d34e5.mp3	колбаса	1003	1002
ірімшік	kz.sozdik.soyle.kz/mp3/7128ad18c9bff9ae.mp3	сыр	1003	1002
ірімшік	kz.sozdik.soyle.kz/mp3/7128ad18c9bff9ae.mp3	творог	1003	1002
қаймақ	kz.sozdik.soyle.kz/mp3/7975b433bf561b9f.mp3	сметана	1003	1002
қамыр	kz.sozdik.soyle.kz/mp3/b1df085293754b97.mp3	тесто	1003	1002
қант	kz.sozdik.soyle.kz/mp3/79ca4b0410fbc014.mp3	сахар	1003	1002
қарақұмық жармасы	kz.sozdik.soyle.kz/mp3/81069b5eadbff602.mp3	гречневая крупа	1003	1002
қой еті	kz.sozdik.soyle.kz/mp3/89671f9b464603fa.mp3	баранина	1003	1002
қуырдақ	kz.sozdik.soyle.kz/mp3/83251ba020612235.mp3	жаркое	1003	1002
қуырдақ	kz.sozdik.soyle.kz/mp3/83251ba020612235.mp3	куырдак	1003	1002
құймақ	kz.sozdik.soyle.kz/mp3/b1d37d0523d205ea.mp3	блины	1003	1002
құймақ	kz.sozdik.soyle.kz/mp3/b1d37d0523d205ea.mp3	оладьи	1003	1002
ұн	kz.sozdik.soyle.kz/mp3/7e289e3888b3df1f.mp3	мука	1003	1002
